Date,Market_VWAP,Execution_VWAP,Total_Target_Purchase
2024-12-16,53.26507126600512,53.261196101473935,100000.00000000003
2024-12-17,52.83774924285928,52.82938877890854,100000.00000000003
2024-12-18,53.347182595446895,53.42612663670255,100000.00000000003
2024-12-19,54.819262173469234,54.75756093327254,100000.00000000003
2024-12-20,56.94152175500832,56.85068423666766,100000.00000000003
2024-12-23,57.45814841399031,57.59707702051549,100000.00000000003
2024-12-24,57.951576560568284,57.94323488472827,52227.53820541293
2024-12-26,58.351560973716566,58.32771853663847,100000.00000000003
2024-12-27,57.31749603691135,57.42447680010968,100000.00000000003
2024-12-30,54.61011381197921,54.58235141918712,100000.00000000003
2024-12-31,53.693407213113325,53.679293851248865,100000.00000000003
2025-01-02,53.468448364148976,53.453771551095045,100000.00000000003
2025-01-03,54.553502964183444,54.49305833178215,100000.00000000003
2025-01-06,55.57673149521757,55.61466626738217,100000.00000000003
2025-01-07,55.753863636210326,55.769435810290446,100000.00000000003
2025-01-08,54.94484105054507,54.965839380998105,100000.00000000003
2025-01-10,52.18152417592083,52.20303941343309,100000.00000000003
2025-01-13,49.544608053773906,49.54677247345797,100000.00000000003
2025-01-14,50.707391893011994,50.69737027255717,100000.00000000003
2025-01-15,52.663974654345395,52.5744551250433,100000.00000000003
2025-01-16,53.09976310797862,53.03537652913326,100000.00000000003
2025-01-17,53.84953369394829,53.767713723809614,100000.00000000003
2025-01-21,55.17697860105849,55.0656880054515,100000.00000000003
2025-01-22,55.96933128843211,55.94324375845821,100000.00000000003
2025-01-23,55.8538591978355,55.83771854374306,100000.00000000003
2025-01-24,56.56942907030735,56.5669495050979,100000.00000000003
2025-01-27,55.7409396029307,55.85197431342925,100000.00000000003
2025-01-28,56.91616966402112,56.89033783622258,100000.00000000003
2025-01-29,57.69248988138707,57.64136949128794,100000.00000000003
2025-01-30,59.20101062790255,59.217028508383216,100000.00000000003
2025-01-31,59.460486771296424,59.467149636692255,100000.00000000003
